case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept,severity
VLAN-001,PC1 cannot communicate with PC2 although both are expected to be in VLAN 20.,PC1 connected to Switch1 Fa0/5 and PC2 connected to Switch1 Fa0/6.,"Switch# show interfaces fa0/5 switchport
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 10

Switch# show vlan brief
10 SALES active Fa0/5
20 HR active Fa0/6",PC1 is assigned to VLAN 10 instead of VLAN 20.,Layer 2,VLAN,Medium
VLAN-002,Devices in VLAN 30 on two switches cannot communicate.,Switch1 and Switch2 are connected through a trunk link.,"Switch# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Fa0/24      on           802.1q         trunking      1

Vlans allowed on trunk
10,20

Switch# show vlan brief
30 ENGINEERING active",VLAN 30 is not allowed on the trunk.,Layer 2,VLAN,High
VLAN-003,PC connected to Fa0/10 cannot access the department network.,PC should belong to VLAN 40.,"Switch# show vlan brief
10 SALES active
20 HR active
30 ENGINEERING active

Switch# show interfaces fa0/10 switchport
Access Mode VLAN: 1",VLAN 40 is missing and the port remains in VLAN 1.,Layer 2,VLAN,High
VLAN-004,Users in VLAN 50 cannot communicate across switches.,VLAN 50 should pass through the trunk.,"Switch# show interfaces trunk
Vlans allowed on trunk
10,20,30,40

Switch# show vlan brief
50 GUEST active",VLAN 50 is not allowed on the trunk.,Layer 2,VLAN,Medium
GW-001,PC can communicate with devices in the same network but cannot reach other networks.,PC address is 192.168.10.20/24.,"PC> ipconfig

IP Address: 192.168.10.20
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.1.1",Default gateway is configured for the wrong network.,Layer 3,Gateway,High
GW-002,PC cannot reach its default gateway.,Router interface should be 10.0.0.1.,"PC> ipconfig
IP Address: 10.0.0.10
Subnet Mask: 255.255.255.0
Default Gateway: 10.0.0.254

Router# show ip interface brief
GigabitEthernet0/0 10.0.0.1 up up",PC default gateway does not match the router interface.,Layer 3,Gateway,High
GW-003,Multiple PCs cannot access external networks.,All PCs are in 172.16.5.0/24.,"PC> ipconfig
IP Address: 172.16.5.20
Subnet Mask: 255.255.255.0
Default Gateway: 172.16.6.1",Gateway belongs to a different subnet.,Layer 3,Gateway,High
DHCP-001,Client receives an APIPA address instead of a valid network address.,Client should receive an address from 192.168.20.0/24.,"PC> ipconfig
IP Address: 169.254.10.15

Router# show ip dhcp pool
Pool OFFICE
Network 192.168.20.0 /24
Leased addresses: 0",DHCP allocation is failing; client is not receiving a valid lease.,Layer 7,DHCP,High
DHCP-002,New clients cannot obtain IP addresses.,Existing clients already occupy most addresses.,"Router# show ip dhcp pool
Pool LAB
Network 192.168.30.0 /24
Total addresses: 10
Leased addresses: 10
Available addresses: 0",DHCP pool is exhausted.,Layer 7,DHCP,High
DHCP-003,Client receives an IP address from the wrong network.,Client belongs to VLAN 40 and should receive 192.168.40.0/24.,"Router# show ip dhcp pool
Pool VLAN40
Network 192.168.50.0 /24

PC> ipconfig
IP Address: 192.168.50.12",DHCP pool network does not match the client VLAN.,Layer 7,DHCP,Medium
