timestamp,case_id,concept,severity,predicted_root_cause,confidence,evidence_quality,risk_level
2026-08-27 15:30:55,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 15:32:42,CUSTOM-CASE,VLAN,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 15:32:44,CUSTOM-CASE,DHCP,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 15:32:46,CUSTOM-CASE,DHCP,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 15:32:48,CUSTOM-CASE,DHCP,High,No root cause available.,0,35,🟠 High Risk – Verify Before Making Changes
2026-08-27 15:32:55,CUSTOM-CASE,DHCP,High,No root cause available.,0,55,🟠 High Risk – Verify Before Making Changes
2026-08-27 15:33:02,CUSTOM-CASE,DHCP,High,No root cause available.,0,70,🟠 High Risk – Verify Before Making Changes
2026-08-27 15:33:14,CUSTOM-CASE,DHCP,High,No root cause available.,0,90,🟠 High Risk – Verify Before Making Changes
2026-08-27 15:33:22,CUSTOM-CASE,DHCP,High,DHCP Pool Exhausted,89,100,🟠 High Risk – Strong Evidence Detected
2026-08-27 15:51:05,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 15:53:15,CUSTOM-CASE,VLAN,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 15:53:31,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 15:53:35,CUSTOM-CASE,VLAN,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 15:53:37,CUSTOM-CASE,DHCP,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 15:53:39,CUSTOM-CASE,DHCP,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 15:53:42,CUSTOM-CASE,DHCP,High,No root cause available.,0,35,🟠 High Risk – Verify Before Making Changes
2026-08-27 15:53:51,CUSTOM-CASE,DHCP,High,No root cause available.,0,55,🟠 High Risk – Verify Before Making Changes
2026-08-27 15:53:58,CUSTOM-CASE,DHCP,High,No root cause available.,0,70,🟠 High Risk – Verify Before Making Changes
2026-08-27 15:54:30,CUSTOM-CASE,DHCP,High,No root cause available.,0,90,🟠 High Risk – Verify Before Making Changes
2026-08-27 15:54:33,CUSTOM-CASE,DHCP,High,DHCP Pool Exhausted,89,100,🟠 High Risk – Strong Evidence Detected
2026-08-27 16:06:00,VLAN-001,VLAN,Medium,No root cause available.,0,90,🟡 Moderate Risk – Human Verification Recommended
2026-08-27 16:08:47,CUSTOM-CASE,VLAN,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 16:08:50,CUSTOM-CASE,DHCP,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 16:08:51,CUSTOM-CASE,DHCP,Low,No root cause available.,0,35,🟡 Moderate Risk – Insufficient Diagnostic Evidence
2026-08-27 16:08:55,CUSTOM-CASE,DHCP,High,No root cause available.,0,35,🟠 High Risk – Verify Before Making Changes
2026-08-27 16:09:02,CUSTOM-CASE,DHCP,High,No root cause available.,0,55,🟠 High Risk – Verify Before Making Changes
